============================================================
  Generated by:           Genus(TM) Synthesis Solution 22.13-s093_1
  Generated on:           Sep 08 2026  11:03:03 pm
  Module:                 wrapper
  Technology library:     D_CELLS_HD_LPMOS_typ_1_80V_25C 3.0.0
  Operating conditions:   typ_1_80V_25C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                
   Gate    Instances    Area                 Library              
------------------------------------------------------------------
AN211HDX1          1     15.053    D_CELLS_HD_LPMOS_typ_1_80V_25C 
AN21HDX1          20    250.880    D_CELLS_HD_LPMOS_typ_1_80V_25C 
AN222HDX1          6    135.475    D_CELLS_HD_LPMOS_typ_1_80V_25C 
AN22HDX1         150   2257.920    D_CELLS_HD_LPMOS_typ_1_80V_25C 
AN31HDX1           1     15.053    D_CELLS_HD_LPMOS_typ_1_80V_25C 
AND2HDX0          14    175.616    D_CELLS_HD_LPMOS_typ_1_80V_25C 
AO21HDX1           2     35.123    D_CELLS_HD_LPMOS_typ_1_80V_25C 
AO222HDX1          4    100.352    D_CELLS_HD_LPMOS_typ_1_80V_25C 
CAGHDX1            6    135.475    D_CELLS_HD_LPMOS_typ_1_80V_25C 
DFRRHDX1          81   4877.107    D_CELLS_HD_LPMOS_typ_1_80V_25C 
DFRRQHDX0         72   3973.939    D_CELLS_HD_LPMOS_typ_1_80V_25C 
DFRSHDX1           2    115.405    D_CELLS_HD_LPMOS_typ_1_80V_25C 
DFRSQHDX1          3    158.054    D_CELLS_HD_LPMOS_typ_1_80V_25C 
EN2HDX0            7    140.493    D_CELLS_HD_LPMOS_typ_1_80V_25C 
EN2HDX1           15    338.688    D_CELLS_HD_LPMOS_typ_1_80V_25C 
EN3HDX0            3    112.896    D_CELLS_HD_LPMOS_typ_1_80V_25C 
EO2HDX1            1     20.070    D_CELLS_HD_LPMOS_typ_1_80V_25C 
FAHDX0           158   7927.808    D_CELLS_HD_LPMOS_typ_1_80V_25C 
FAHDX1             1     55.194    D_CELLS_HD_LPMOS_typ_1_80V_25C 
HAHDX0             3     82.790    D_CELLS_HD_LPMOS_typ_1_80V_25C 
HAHDX1             6    180.634    D_CELLS_HD_LPMOS_typ_1_80V_25C 
INHDX0            19    143.002    D_CELLS_HD_LPMOS_typ_1_80V_25C 
INHDX1             3     22.579    D_CELLS_HD_LPMOS_typ_1_80V_25C 
LSGCPHDX1         10    401.408    D_CELLS_HD_LPMOS_typ_1_80V_25C 
MU2HDX0            1     20.070    D_CELLS_HD_LPMOS_typ_1_80V_25C 
NA22HDX1          67   1008.538    D_CELLS_HD_LPMOS_typ_1_80V_25C 
NA2HDX1           75    752.640    D_CELLS_HD_LPMOS_typ_1_80V_25C 
NA2HDX2            1     15.053    D_CELLS_HD_LPMOS_typ_1_80V_25C 
NA2I1HDX1         15    188.160    D_CELLS_HD_LPMOS_typ_1_80V_25C 
NA3HDX1           16    200.704    D_CELLS_HD_LPMOS_typ_1_80V_25C 
NA3I1HDX1          3     45.158    D_CELLS_HD_LPMOS_typ_1_80V_25C 
NA3I2HDX1          3     45.158    D_CELLS_HD_LPMOS_typ_1_80V_25C 
NA4HDX1            1     15.053    D_CELLS_HD_LPMOS_typ_1_80V_25C 
NA4I3HDX1          1     17.562    D_CELLS_HD_LPMOS_typ_1_80V_25C 
